Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Jake Fraley,CIN,68,247,12,33,28,4,10.50%,21.90%,0.208,0.289,0.259,0.344,0.468,0.352,0.333,121,1.6,7.6,-6.2,1,19260
Lourdes Gurriel Jr.,TOR,121,493,5,52,52,3,6.30%,16.80%,0.108,0.346,0.291,0.343,0.4,0.327,0.321,114,-4.1,3.8,-9.8,1,19238
Emmanuel Rivera,- - -,102,359,12,46,40,1,6.40%,23.10%,0.176,0.275,0.233,0.292,0.409,0.306,0.31,95,-0.9,-2.7,0.7,1,19890
Jose Iglesias,COL,118,467,3,48,47,2,3.60%,12.00%,0.089,0.326,0.292,0.328,0.38,0.312,0.281,85,-3.3,-11.2,5.1,1,10231
Tomas Nido,NYM,98,313,3,31,28,0,4.50%,24.30%,0.085,0.314,0.239,0.276,0.324,0.265,0.287,74,-7,-16.3,14.8,0.9,13755
J.D. Davis,- - -,115,365,12,46,35,1,10.70%,33.40%,0.17,0.36,0.248,0.34,0.418,0.333,0.353,119,-3.1,5.2,-8.5,0.9,16219
Yoan Moncada,CHW,104,433,12,41,51,2,7.40%,26.30%,0.141,0.265,0.212,0.273,0.353,0.275,0.289,76,1.3,-10.2,5.3,0.9,17232
Adam Duvall,ATL,86,315,12,39,36,0,6.70%,32.10%,0.188,0.278,0.213,0.276,0.401,0.295,0.293,87,2.7,-2.2,0.4,0.9,10950
Rodolfo Castro,PIT,71,278,11,25,27,5,7.90%,26.60%,0.194,0.284,0.233,0.299,0.427,0.315,0.28,103,0.3,1.1,-1.7,0.9,21987
Ryan Jeffers,MIN,67,236,7,25,27,0,9.70%,26.30%,0.156,0.259,0.208,0.285,0.363,0.287,0.315,87,-1.3,-4.7,5.8,0.9,24618
Ramon Laureano,OAK,94,383,13,49,34,11,6.50%,27.20%,0.165,0.262,0.211,0.287,0.376,0.294,0.307,96,3,1.2,-4.8,0.9,17128
Riley Greene,DET,93,418,5,46,42,1,8.60%,28.70%,0.109,0.354,0.253,0.321,0.362,0.303,0.316,98,-0.1,-1.1,-3.6,0.9,25976
Brandon Lowe,TBR,65,266,8,31,25,1,10.20%,22.90%,0.162,0.263,0.221,0.308,0.383,0.306,0.32,104,2,3.3,-3.2,0.9,18882
Jesus Sanchez,MIA,98,343,13,38,36,1,7.60%,26.80%,0.188,0.258,0.214,0.28,0.403,0.298,0.298,93,-1.5,-4.1,1.1,0.9,19913
Trey Mancini,- - -,143,587,18,56,63,0,9.00%,23.00%,0.152,0.286,0.239,0.319,0.391,0.312,0.327,104,-3,-0.4,-10.1,0.9,15149
Rowdy Tellez,MIL,153,599,35,67,89,2,10.40%,20.20%,0.242,0.215,0.219,0.306,0.461,0.327,0.349,110,-6.6,0.7,-12.9,0.8,15679
Keston Hiura,MIL,80,266,14,34,32,5,8.60%,41.70%,0.222,0.355,0.226,0.316,0.449,0.334,0.317,115,0.7,5.3,-6.4,0.8,20003
Mitch Haniger,SEA,57,247,11,31,34,0,8.10%,26.30%,0.183,0.293,0.246,0.308,0.429,0.319,0.328,113,-0.9,2.7,-2.9,0.8,14274
Luke Maile,CLE,76,206,3,19,17,0,9.20%,26.20%,0.105,0.291,0.221,0.301,0.326,0.281,0.263,81,-1.1,-5.4,5.9,0.7,13355
Kyle Isbel,KCR,106,278,5,32,28,9,5.80%,27.00%,0.129,0.275,0.211,0.264,0.34,0.265,0.266,67,-0.8,-11.1,9.1,0.7,21614
Yonathan Daza,COL,113,408,2,56,34,0,6.40%,14.20%,0.083,0.347,0.301,0.349,0.384,0.323,0.308,93,-0.1,-3.2,-4,0.7,15794
Willi Castro,DET,112,392,8,47,31,9,3.80%,20.90%,0.126,0.288,0.241,0.284,0.367,0.285,0.29,86,1.6,-4.7,-1.2,0.7,17338
David Fletcher,LAA,61,228,2,20,17,1,3.10%,7.00%,0.079,0.268,0.255,0.288,0.333,0.275,0.295,75,-1.5,-7.9,7,0.7,17992
Orlando Arcia,ATL,68,234,9,25,30,0,9.00%,21.80%,0.172,0.278,0.244,0.316,0.416,0.321,0.329,104,-0.1,1,-2.5,0.7,13185
Aristides Aquino,CIN,80,276,10,24,30,2,6.20%,36.60%,0.166,0.277,0.197,0.246,0.363,0.267,0.243,63,1.6,-10.4,7.4,0.7,15482
Rafael Ortega,CHC,118,371,7,35,35,12,11.90%,19.90%,0.117,0.285,0.241,0.331,0.358,0.305,0.307,96,-3.5,-5.2,-1.1,0.7,10323
Tommy Pham,- - -,144,622,17,89,63,8,9.00%,26.80%,0.137,0.304,0.236,0.312,0.374,0.304,0.311,89,1.9,-5.6,-8.9,0.6,2967
Geraldo Perdomo,ARI,148,500,5,58,40,9,10.00%,20.60%,0.067,0.243,0.195,0.285,0.262,0.253,0.269,59,5.4,-18.7,7.9,0.6,22799
Joey Bart,SFG,97,291,11,34,25,2,8.90%,38.50%,0.149,0.326,0.215,0.296,0.364,0.294,0.296,90,-1.5,-4.8,1,0.6,21524
Owen Miller,CLE,130,472,6,53,51,2,6.80%,19.70%,0.108,0.29,0.243,0.301,0.351,0.287,0.291,85,1,-6.8,-2.4,0.6,24655
Joey Gallo,- - -,126,410,19,48,47,3,13.70%,39.80%,0.197,0.219,0.16,0.28,0.357,0.286,0.295,85,0.5,-6.3,-1.3,0.6,14128
Yan Gomes,CHC,86,293,8,23,31,2,2.70%,16.00%,0.13,0.252,0.235,0.26,0.365,0.271,0.287,73,-2,-11.2,7,0.6,9627
Aledmys Diaz,HOU,92,327,12,35,38,1,5.50%,16.20%,0.161,0.256,0.243,0.287,0.403,0.301,0.308,96,-3.8,-5.2,0.3,0.6,15937
Bryan De La Cruz,MIA,115,355,13,38,43,4,5.40%,25.40%,0.179,0.304,0.252,0.294,0.432,0.313,0.355,104,-1.2,0.4,-7,0.6,19600
Jose Azocar,SDP,98,216,0,24,10,5,5.60%,20.40%,0.074,0.327,0.257,0.298,0.332,0.278,0.272,81,-1.6,-6.3,4.3,0.5,18821
Jorge Soler,MIA,72,306,13,32,34,0,10.10%,29.40%,0.193,0.256,0.207,0.295,0.4,0.305,0.322,98,-0.8,-1.4,-3.6,0.5,14221
A.J. Pollock,CHW,138,527,14,61,56,3,6.10%,18.60%,0.143,0.278,0.245,0.292,0.389,0.297,0.317,92,-1.5,-6,-5.6,0.5,9256
T.J. Friedl,CIN,72,258,8,33,25,7,7.80%,15.50%,0.196,0.251,0.24,0.314,0.436,0.323,0.283,101,0.9,1.3,-4.8,0.5,19522
Nick Allen,OAK,100,326,4,31,19,3,5.80%,19.60%,0.084,0.25,0.207,0.256,0.291,0.245,0.238,61,0.5,-13.8,8.5,0.5,22277
Enrique Hernandez,BOS,93,402,6,48,45,0,8.50%,17.70%,0.116,0.257,0.222,0.291,0.338,0.28,0.296,75,-0.7,-12,4.2,0.5,10472
Nolan Gorman,STL,89,313,14,44,35,1,8.90%,32.90%,0.194,0.301,0.226,0.3,0.42,0.316,0.341,107,-0.1,2.4,-8,0.5,22263
Martin Maldonado,HOU,113,379,15,40,45,0,5.80%,30.60%,0.166,0.228,0.186,0.248,0.352,0.264,0.253,70,-3.9,-16.6,9.4,0.5,6887
Salvador Perez,KCR,114,473,23,48,76,0,3.80%,23.00%,0.211,0.285,0.254,0.292,0.465,0.324,0.326,109,-3.2,1.4,-11.6,0.5,7304
Alek Thomas,ARI,113,411,8,45,39,4,5.40%,18.00%,0.113,0.263,0.231,0.275,0.344,0.272,0.277,71,1.8,-11.8,2.7,0.5,23792
Donovan Solano,CIN,80,304,4,22,24,0,6.30%,20.10%,0.101,0.349,0.284,0.339,0.385,0.319,0.315,98,-2,-2.6,-3,0.5,8623
Jorge Alfaro,SDP,82,274,7,25,40,1,4.00%,35.80%,0.137,0.364,0.246,0.285,0.383,0.291,0.295,90,0,-3.2,-1.4,0.5,12180
Brian Serven,COL,62,205,6,19,16,0,6.30%,21.50%,0.128,0.232,0.203,0.261,0.332,0.263,0.254,52,-0.9,-12.3,9.9,0.5,19422
Cesar Hernandez,WSN,147,617,1,64,34,10,7.30%,18.50%,0.07,0.309,0.248,0.311,0.318,0.283,0.29,79,-0.8,-15.8,-0.6,0.5,10556
Brian Anderson,MIA,98,383,8,43,28,1,9.70%,26.40%,0.124,0.291,0.222,0.311,0.346,0.293,0.309,90,-0.1,-4.5,-4.1,0.5,18289
Corey Dickerson,STL,97,297,6,28,36,0,4.00%,16.20%,0.132,0.301,0.267,0.3,0.399,0.303,0.292,98,-0.4,-1.2,-4.6,0.4,10762
Carson Kelly,ARI,104,354,7,40,35,2,8.20%,20.10%,0.123,0.247,0.211,0.282,0.334,0.275,0.288,73,-0.4,-11.4,3.7,0.4,13620
Jonathan India,CIN,103,431,10,48,41,3,7.20%,21.80%,0.13,0.305,0.249,0.327,0.378,0.314,0.301,95,-1,-3.5,-7.2,0.4,21523
Matt Reynolds,- - -,93,272,3,31,23,5,9.60%,28.70%,0.086,0.348,0.246,0.32,0.332,0.293,0.272,81,0.3,-5.8,0.4,0.4,13788
Jesse Winker,SEA,136,547,14,51,53,0,15.40%,18.80%,0.125,0.251,0.219,0.344,0.344,0.313,0.345,109,-4.3,1,-14.7,0.4,13590
Rougned Odor,BAL,135,472,13,49,53,6,6.80%,23.10%,0.15,0.244,0.207,0.275,0.357,0.278,0.277,80,1.4,-9.3,-1.9,0.4,12282
Albert Almora Jr.,CIN,64,235,5,26,29,3,7.20%,19.60%,0.126,0.261,0.223,0.282,0.349,0.279,0.27,71,-3,-10.9,6.5,0.4,14109
Victor Robles,WSN,132,407,6,42,33,15,4.20%,25.60%,0.087,0.292,0.224,0.273,0.311,0.26,0.244,64,2.8,-14.3,3.9,0.3,18363
Tyler Naquin,- - -,105,334,11,47,46,4,5.70%,27.80%,0.194,0.291,0.229,0.282,0.423,0.303,0.317,93,2.3,-0.5,-7.7,0.3,13359
Mitch Garver,TEX,54,215,10,23,24,1,10.70%,24.70%,0.197,0.228,0.207,0.298,0.404,0.308,0.319,101,0.4,0.5,-4.4,0.3,15161
Andrew McCutchen,MIL,134,580,17,66,69,8,9.80%,21.40%,0.148,0.278,0.237,0.316,0.384,0.309,0.325,98,-4.1,-5.3,-11.3,0.3,9847
Andrew Velazquez,LAA,125,349,9,37,28,17,4.30%,34.10%,0.109,0.274,0.196,0.236,0.304,0.239,0.246,50,4.6,-15.1,6.9,0.3,14196
Eric Hosmer,- - -,104,419,8,38,44,0,8.80%,15.30%,0.113,0.304,0.268,0.334,0.382,0.313,0.311,104,-5.1,-3,-8.2,0.3,3516
Luis Gonzalez,SFG,98,350,4,31,36,10,8.60%,21.40%,0.106,0.316,0.254,0.323,0.36,0.302,0.268,95,0.6,-1.3,-7.9,0.3,20332
Raimel Tapia,TOR,128,433,7,47,52,8,3.70%,18.70%,0.114,0.315,0.265,0.292,0.38,0.293,0.286,90,2,-2.6,-8.7,0.3,14350
LaMonte Wade Jr.,SFG,77,251,8,29,26,1,10.40%,20.30%,0.152,0.233,0.207,0.305,0.359,0.298,0.321,93,0.8,-1.4,-4.7,0.2,18126
Christian Arroyo,BOS,87,300,6,32,36,5,4.30%,16.30%,0.129,0.326,0.286,0.322,0.414,0.319,0.33,102,-3.2,-2.4,-5.2,0.2,16434
Mauricio Dubon,- - -,104,265,5,31,24,2,4.90%,11.30%,0.099,0.221,0.214,0.252,0.313,0.248,0.272,59,-0.8,-13.2,6.6,0.2,16530
Francisco Mejia,TBR,93,299,6,32,31,0,2.30%,21.70%,0.138,0.292,0.242,0.264,0.381,0.279,0.262,85,-2.4,-7.3,-0.3,0.2,16403
Luke Voit,- - -,135,568,22,55,69,1,9.70%,31.50%,0.176,0.298,0.226,0.308,0.402,0.311,0.322,102,-6.2,-4.9,-12.4,0.2,14811
Nick Madrigal,CHC,59,228,0,19,7,3,6.10%,11.80%,0.033,0.286,0.249,0.305,0.282,0.267,0.283,70,-0.4,-8.2,2.2,0.2,20521
Austin Nola,SDP,110,397,4,40,40,2,8.60%,15.10%,0.078,0.284,0.251,0.321,0.329,0.29,0.305,89,-0.8,-5.9,-5.8,0.2,15941
Jordan Luplow,ARI,83,234,11,26,28,5,10.70%,25.60%,0.185,0.185,0.176,0.274,0.361,0.281,0.288,78,0.3,-5.8,-0.5,0.2,16424
P.J. Higgins,CHC,74,229,6,23,30,0,9.60%,25.30%,0.154,0.29,0.229,0.31,0.383,0.306,0.264,97,-1.2,-2,-4.3,0.1,18433
Yadier Molina,STL,80,270,5,19,24,2,1.90%,14.80%,0.088,0.234,0.214,0.233,0.302,0.235,0.254,51,-4.4,-19.7,12,0.1,7007
Brett Phillips,- - -,83,225,5,22,15,7,7.10%,41.80%,0.104,0.233,0.144,0.217,0.249,0.213,0.22,38,3.8,-11.9,6,0.1,14735
Charlie Blackmon,COL,135,577,16,60,78,4,5.50%,18.90%,0.155,0.304,0.264,0.314,0.419,0.317,0.301,89,1.4,-5.9,-12.3,0.1,7859
Gavin Sheets,CHW,124,410,15,34,53,0,6.60%,21.00%,0.17,0.272,0.241,0.295,0.411,0.308,0.283,100,-2.6,-2.7,-9.2,0.1,19901
Pavin Smith,ARI,75,277,9,24,33,1,10.10%,24.20%,0.147,0.262,0.22,0.3,0.367,0.294,0.304,87,0.5,-3.8,-4.4,0.1,19892
Paul DeJong,STL,77,237,6,19,25,3,8.90%,33.30%,0.129,0.213,0.157,0.245,0.286,0.241,0.267,55,-0.7,-13,5.9,0.1,18015
Ezequiel Duran,TEX,58,220,5,25,25,4,5.50%,24.50%,0.13,0.295,0.236,0.277,0.365,0.282,0.256,82,-0.2,-4.7,-1.6,0.1,23733
Nelson Velazquez,CHC,77,206,6,20,26,5,9.20%,31.60%,0.168,0.281,0.205,0.286,0.373,0.291,0.305,87,0.1,-3,-3.3,0.1,23359
Juan Yepez,STL,76,274,12,27,30,0,5.80%,22.30%,0.194,0.283,0.253,0.296,0.447,0.319,0.286,109,-1.7,1.2,-9.8,0.1,18400
Marwin Gonzalez,NYY,86,207,6,20,18,3,6.80%,26.10%,0.136,0.222,0.185,0.255,0.321,0.257,0.282,65,-1.1,-9.2,3.1,0,5497
Josh Smith,TEX,73,253,2,23,16,4,11.10%,19.80%,0.052,0.244,0.197,0.307,0.249,0.262,0.296,68,0.3,-8.9,1.2,0,26396
Luis Garcia,WSN,93,377,7,29,45,3,2.90%,22.30%,0.133,0.337,0.275,0.295,0.408,0.303,0.305,93,-2.5,-5.6,-6.7,0,20391
Max Stassi,LAA,102,375,9,32,30,0,10.10%,29.90%,0.123,0.239,0.18,0.267,0.303,0.258,0.266,63,-2.7,-18.1,6.5,0,10059
Sergio Alcantara,- - -,93,224,6,26,29,1,5.40%,25.40%,0.137,0.267,0.22,0.261,0.356,0.269,0.244,70,-0.1,-7.8,0.5,0,16417
Brandon Belt,SFG,78,298,8,25,23,1,12.40%,27.20%,0.138,0.277,0.213,0.326,0.35,0.303,0.326,96,-1,-2.3,-7.5,0,10264
Ben Gamel,PIT,115,423,9,42,46,5,11.30%,23.20%,0.137,0.291,0.232,0.324,0.369,0.308,0.316,97,1.4,0,-14.1,0,12160
Connor Joe,COL,111,467,7,56,28,6,11.80%,20.80%,0.121,0.296,0.238,0.338,0.359,0.314,0.311,87,-0.3,-7.4,-8.5,0,16572
Matt Vierling,PHI,117,357,6,41,32,7,6.40%,19.60%,0.105,0.29,0.246,0.297,0.351,0.285,0.327,81,0.5,-7.5,-4.9,0,21558
Gilberto Celestino,MIN,122,347,2,30,24,4,9.20%,22.20%,0.064,0.31,0.238,0.313,0.302,0.28,0.27,82,-4.6,-11.7,0.2,0,20233
Bobby Dalbec,BOS,117,353,12,40,39,3,8.20%,33.40%,0.155,0.293,0.215,0.283,0.369,0.287,0.296,80,1.7,-6.3,-5.6,-0.1,19966
Jeimer Candelario,DET,124,467,13,49,50,0,6.00%,23.30%,0.145,0.257,0.217,0.272,0.361,0.277,0.292,80,-2.7,-13.2,-2.3,-0.1,13621
Chad Pinder,OAK,111,379,12,38,42,2,3.70%,31.10%,0.15,0.313,0.235,0.263,0.385,0.281,0.28,86,-0.2,-6,-6.8,-0.1,15191
Diego Castillo,PIT,96,283,11,28,29,1,4.90%,26.50%,0.176,0.239,0.206,0.251,0.382,0.272,0.292,73,-0.4,-9.2,-1.2,-0.1,19906
Jackie Bradley Jr.,- - -,132,370,4,30,38,2,6.50%,20.80%,0.108,0.251,0.203,0.255,0.311,0.252,0.268,56,-0.7,-18.9,6.2,-0.1,12984
Matt Duffy,LAA,77,247,2,14,16,0,6.90%,20.20%,0.061,0.313,0.25,0.308,0.311,0.279,0.28,78,-1.8,-7.8,-1,-0.1,13836
Yadiel Hernandez,WSN,94,327,9,30,41,2,5.80%,22.60%,0.141,0.326,0.269,0.312,0.41,0.315,0.31,101,-5.2,-4.7,-7.6,-0.1,19334
Alfonso Rivas,CHC,101,287,3,27,25,6,10.10%,30.30%,0.072,0.344,0.235,0.322,0.307,0.285,0.281,83,2,-3.9,-7.1,-0.1,21560
Vimael Machin,OAK,73,253,1,26,13,1,9.90%,18.60%,0.067,0.27,0.22,0.3,0.287,0.268,0.301,77,-1.2,-7.7,-1.7,-0.1,17684
Adam Engel,CHW,119,260,2,32,17,12,4.20%,29.20%,0.086,0.317,0.224,0.269,0.31,0.256,0.246,63,2.1,-8.6,-1.1,-0.1,15082
MJ Melendez,KCR,129,534,18,57,62,2,12.40%,24.50%,0.176,0.258,0.217,0.313,0.393,0.31,0.332,99,-0.3,-1.1,-17.5,-0.2,22197
Akil Baddoo,DET,73,225,2,30,9,9,10.70%,28.40%,0.065,0.289,0.204,0.289,0.269,0.256,0.253,65,2.2,-6.6,-2.5,-0.2,22168
Randal Grichuk,COL,141,538,19,60,73,4,4.50%,23.60%,0.166,0.309,0.259,0.299,0.425,0.315,0.281,88,-1.2,-8.9,-11.1,-0.2,10243
Franchy Cordero,BOS,84,275,8,36,29,4,10.20%,33.50%,0.178,0.313,0.219,0.3,0.397,0.304,0.313,92,2.6,0.2,-10.9,-0.2,14567
Victor Reyes,DET,92,336,3,27,34,2,3.90%,22.90%,0.108,0.322,0.254,0.289,0.362,0.284,0.292,85,-0.3,-6.1,-6.7,-0.2,15487
Tucker Barnhart,DET,94,308,1,16,16,0,8.10%,24.00%,0.046,0.296,0.221,0.287,0.267,0.253,0.244,63,-1.7,-14.6,2.4,-0.2,10200
Didi Gregorius,PHI,63,232,1,17,19,1,5.60%,15.50%,0.093,0.246,0.21,0.263,0.304,0.251,0.275,58,2.1,-9.3,-1.1,-0.3,6012
CJ Abrams,- - -,90,302,2,33,21,7,1.70%,16.60%,0.077,0.291,0.246,0.28,0.324,0.267,0.266,71,1.7,-8.5,-4.5,-0.3,25768
Jo Adell,LAA,88,285,8,22,27,4,3.90%,37.50%,0.149,0.338,0.224,0.264,0.373,0.278,0.251,77,0.8,-6.5,-5.5,-0.3,20220
J.J. Bleday,MIA,65,238,5,21,16,4,12.60%,28.20%,0.142,0.216,0.167,0.277,0.309,0.266,0.28,72,0.8,-7.1,-3.8,-0.3,26368
Robbie Grossman,- - -,129,477,7,40,45,6,11.70%,27.00%,0.102,0.283,0.209,0.31,0.311,0.283,0.281,82,-0.2,-9.8,-8.6,-0.3,5254
Andrew Knizner,STL,97,293,4,28,25,0,8.90%,21.20%,0.085,0.268,0.215,0.301,0.3,0.275,0.28,79,-1.8,-9,-4,-0.3,19514
Jarren Duran,BOS,58,223,3,23,17,7,6.30%,28.30%,0.142,0.302,0.221,0.283,0.363,0.284,0.282,78,0.5,-5.1,-5.4,-0.4,24617
Harold Castro,DET,120,443,7,37,47,0,3.80%,17.80%,0.11,0.318,0.271,0.3,0.381,0.297,0.316,94,-1.6,-4.8,-12.8,-0.4,14691
Jesus Aguilar,- - -,129,507,16,39,51,1,5.50%,23.50%,0.144,0.278,0.235,0.281,0.379,0.288,0.298,86,-2.8,-10.7,-9.8,-0.4,11342
Yasmani Grandal,CHW,99,376,5,15,27,1,12.00%,21.00%,0.067,0.249,0.202,0.301,0.269,0.263,0.29,68,-6.2,-19.7,4.1,-0.4,11368
Andrew Vaughn,CHW,134,555,17,60,76,0,5.60%,17.30%,0.159,0.301,0.271,0.321,0.429,0.327,0.319,113,-3.2,4.9,-26.7,-0.4,26197
Garrett Hampson,COL,90,226,2,29,15,12,9.30%,27.90%,0.095,0.294,0.211,0.287,0.307,0.267,0.261,55,1.6,-10.3,-1.6,-0.4,19262
Mike Moustakas,CIN,78,285,7,30,25,2,8.40%,26.30%,0.131,0.272,0.214,0.295,0.345,0.286,0.27,76,-0.5,-8.5,-5.6,-0.5,4892
Taylor Walls,TBR,142,466,8,53,33,10,11.20%,25.80%,0.113,0.221,0.172,0.268,0.285,0.252,0.27,66,3.2,-14.5,-5,-0.5,22458
Sheldon Neuse,OAK,89,293,4,25,26,6,6.80%,27.30%,0.074,0.289,0.214,0.273,0.288,0.253,0.254,67,1.3,-9.6,-4.8,-0.5,19635
Sam Hilliard,COL,70,200,2,26,14,5,11.50%,28.50%,0.08,0.256,0.184,0.28,0.264,0.251,0.303,44,1.8,-11.2,-0.7,-0.5,17954
Marcell Ozuna,ATL,124,507,23,56,56,2,6.10%,24.10%,0.187,0.252,0.226,0.274,0.413,0.298,0.337,89,-2.6,-9.4,-13,-0.6,10324
Austin Hedges,CLE,105,338,7,26,30,2,7.40%,23.10%,0.085,0.193,0.163,0.241,0.248,0.225,0.24,42,-3.6,-25.8,9.6,-0.6,12976
Avisail Garcia,MIA,98,380,8,31,35,4,4.50%,28.70%,0.092,0.298,0.224,0.266,0.317,0.258,0.281,66,-1.2,-16.1,-2.1,-0.6,5760
Calvin Mitchell,PIT,69,232,5,21,17,3,7.80%,22.40%,0.123,0.276,0.226,0.286,0.349,0.281,0.292,79,1.1,-4.6,-8.9,-0.6,22169
Jared Walsh,LAA,118,454,15,41,44,2,5.90%,30.40%,0.158,0.281,0.215,0.269,0.374,0.278,0.28,78,-0.7,-12.2,-7.9,-0.6,18607
Jacob Stallings,MIA,114,384,4,25,34,0,7.60%,21.60%,0.069,0.28,0.223,0.292,0.292,0.265,0.274,71,-5.3,-18.2,-0.6,-0.6,13723
Nick Senzel,CIN,110,420,5,45,25,8,7.10%,18.10%,0.075,0.276,0.231,0.296,0.306,0.272,0.299,66,-0.9,-17.5,-2.6,-0.6,19293
Michael Chavis,PIT,129,426,14,39,49,1,4.50%,29.60%,0.16,0.294,0.229,0.265,0.389,0.282,0.261,80,0.3,-9.7,-10.7,-0.6,17321
Frank Schwindel,CHC,75,292,8,23,36,0,6.50%,19.90%,0.129,0.261,0.229,0.277,0.358,0.278,0.278,78,-2.5,-10,-6.2,-0.7,15351
Abraham Toro,SEA,109,352,10,36,35,2,6.30%,18.50%,0.139,0.198,0.185,0.239,0.324,0.246,0.284,62,-1.1,-16.3,-1.7,-0.7,19844
Darin Ruf,- - -,119,388,11,52,45,2,11.60%,27.10%,0.135,0.258,0.204,0.307,0.338,0.291,0.31,89,0.2,-4.7,-15.2,-0.7,9929
Nick Castellanos,PHI,136,558,13,56,62,7,5.20%,23.30%,0.126,0.326,0.263,0.305,0.389,0.304,0.302,94,-2.8,-6.8,-19,-0.7,11737
Cooper Hummel,ARI,66,201,3,20,17,4,11.40%,31.80%,0.131,0.255,0.176,0.274,0.307,0.262,0.292,65,0.1,-8.1,-6.1,-0.8,19458
Maikel Franco,WSN,103,388,9,31,39,1,3.10%,19.30%,0.113,0.262,0.229,0.255,0.342,0.261,0.272,64,-3.6,-19.8,-1.2,-0.8,12179
Nelson Cruz,WSN,124,507,10,50,64,4,9.70%,23.50%,0.103,0.295,0.234,0.313,0.337,0.292,0.32,85,-3.1,-11.8,-13.3,-0.8,2434
Joey Votto,CIN,91,376,11,31,41,0,11.70%,25.80%,0.165,0.257,0.205,0.319,0.37,0.31,0.322,92,-4.1,-7.5,-13.3,-0.9,4314
Yuli Gurriel,HOU,146,584,8,53,53,8,5.10%,12.50%,0.117,0.266,0.242,0.288,0.36,0.285,0.271,85,-0.8,-10.9,-16.3,-0.9,19198
Hunter Dozier,KCR,129,500,12,51,41,4,6.80%,25.00%,0.152,0.298,0.236,0.292,0.387,0.298,0.301,90,-8.4,-14.1,-11,-1,15117
Spencer Torkelson,DET,110,404,8,38,28,0,9.20%,24.50%,0.117,0.255,0.203,0.285,0.319,0.272,0.305,76,-3.2,-14,-8.2,-1,27465
Cristian Pache,OAK,91,260,3,18,18,2,5.80%,26.90%,0.075,0.22,0.166,0.218,0.241,0.207,0.259,35,-1.7,-20.8,3.1,-1,19948
Leury Garcia,CHW,97,315,3,38,20,2,2.20%,20.60%,0.057,0.255,0.21,0.233,0.267,0.221,0.258,39,2.2,-19.5,-0.9,-1.1,5913
Kole Calhoun,TEX,125,424,12,36,49,3,6.40%,32.10%,0.134,0.263,0.196,0.257,0.33,0.26,0.294,67,-0.8,-16.7,-7.2,-1.1,11200
Franmil Reyes,- - -,118,473,14,43,47,2,6.30%,33.20%,0.144,0.307,0.221,0.273,0.365,0.28,0.275,80,-2.7,-13.6,-12.4,-1.1,14566
Eddie Rosario,ATL,80,270,5,27,24,3,6.30%,25.20%,0.116,0.267,0.212,0.259,0.328,0.258,0.25,62,1.3,-10.8,-8.9,-1.1,12155
Brad Miller,TEX,81,241,7,20,32,4,7.50%,29.00%,0.108,0.274,0.212,0.27,0.32,0.263,0.269,69,-1.1,-9.6,-8.9,-1.1,12775
Jonathan Villar,- - -,59,220,3,25,18,7,6.80%,26.80%,0.094,0.275,0.208,0.26,0.302,0.25,0.247,58,2.2,-8.4,-11.6,-1.3,10071
Elias Diaz,COL,105,381,9,29,51,0,6.60%,21.50%,0.14,0.27,0.228,0.281,0.368,0.284,0.274,67,-3.9,-18.6,-7.8,-1.4,11680
Miguel Cabrera,DET,112,433,5,25,43,1,6.50%,23.30%,0.063,0.324,0.254,0.305,0.317,0.275,0.275,79,-5.4,-15.8,-11.8,-1.5,1744
Robinson Chirinos,BAL,67,220,4,10,22,1,8.60%,30.50%,0.108,0.248,0.179,0.265,0.287,0.251,0.245,61,-1.2,-10.9,-11.4,-1.6,3142
